song_title,streams_raw,daily_raw,rank,is_feature,title,role,streams,daily
Hours In Silence,"316,573,694","262,111",127,FALSE,Hours In Silence,Lead Artist,316573694,262111
You Broke My Heart,"313,031,228","204,532",128,FALSE,You Broke My Heart,Lead Artist,313031228,204532
* No Complaints (feat. Offset & Drake) (Bonus),"309,056,918","146,505",129,TRUE,No Complaints (feat. Offset & Drake) (Bonus),Featured Artist,309056918,146505
* For Free (feat. Drake),"307,204,836","73,542",130,TRUE,For Free (feat. Drake),Featured Artist,307204836,73542
Jaded,"306,489,639","139,692",131,FALSE,Jaded,Lead Artist,306489639,139692
* Right Here,"304,525,170","806,937",132,TRUE,Right Here,Featured Artist,304525170,806937
10 Bands,"304,223,091","26,494",133,FALSE,10 Bands,Lead Artist,304223091,26494
No Friends In The Industry,"299,363,079","98,306",134,FALSE,No Friends In The Industry,Lead Artist,299363079,98306
* You’re Mines Still (feat. Drake),"298,301,050","65,618",135,TRUE,You’re Mines Still (feat. Drake),Featured Artist,298301050,65618
* LOYAL (feat. Drake),"296,872,046","43,439",136,TRUE,LOYAL (feat. Drake),Featured Artist,296872046,43439
Summers Over Interlude,"296,204,309","113,979",137,FALSE,Summers Over Interlude,Lead Artist,296204309,113979
* Stay Schemin,"293,368,074","505,162",138,TRUE,Stay Schemin,Featured Artist,293368074,505162
What Did I Miss?,"285,462,277","410,621",139,FALSE,What Did I Miss?,Lead Artist,285462277,410621
* Blessings,"283,374,746","46,229",140,TRUE,Blessings,Featured Artist,283374746,46229
* Tuesday (feat. Drake),"279,395,212","44,502",141,TRUE,Tuesday (feat. Drake),Featured Artist,279395212,44502
Blem,"278,563,519","34,605",142,FALSE,Blem,Lead Artist,278563519,34605
Sneakin’,"278,286,782","20,259",143,FALSE,Sneakin’,Lead Artist,278286782,20259
Circo Loco,"276,508,310","76,836",144,FALSE,Circo Loco,Lead Artist,276508310,76836
Up All Night,"272,989,726","112,254",145,FALSE,Up All Night,Lead Artist,272989726,112254
* Un-thinkable (I'm Ready) (feat. Drake) - Remix,"269,251,788","857,858",146,TRUE,Un-thinkable (I'm Ready) (feat. Drake) - Remix,Featured Artist,269251788,857858
Can’t Take A Joke,"267,123,775","49,385",147,FALSE,Can’t Take A Joke,Lead Artist,267123775,49385
Find Your Love,"264,367,601","149,919",148,FALSE,Find Your Love,Lead Artist,264367601,149919
